"ID","Player","Team","Position","RkOv","Status","Age","Salary","Contract","FPts","FP/G","%D","ADP","Ros","+/-"
"*02un4*","Connor McDavid","EDM","F","1","NAS","28","12,500","Rachat","68","1.74","100","1.3","99%","0%"
"*02f9l*","Nathan MacKinnon","COL","F","2","HAR","30","12,600","Rachat","64","1.73","100","3.3","99%","0%"
"*05w9c*","Macklin Celebrini","SJS","F","3","MTL","19","975","Rachat","57","1.5","100","51.9","99%","0%"
"*02yjl*","Leon Draisaitl","EDM","F","4","DET","30","14,000","Rachat","56","1.44","100","4","99%","0%"
"*03mn9*","Mikko Rantanen","DAL","F","5","FA","29","12,000","Rachat","54","1.42","100","15.5","99%","0%"
"*049k7*","Martin Necas","COL","F","7","NAS","26","6,500","Rachat","49","1.32","100","54.1","99%","0%"
"*02b70*","Nikita Kucherov","TBL","F","6","MTL","32","9,500","Rachat","49","1.44","100","5.8","99%","0%"
"*03rh3*","Kirill Kaprizov","MIN","F","8","MTL","28","9,000","Rachat","46","1.18","100","13.3","99%","0%"
"*04dwj*","Jason Robertson","DAL","F","12","MTL","26","7,750","Rachat","45","1.15","100","49.3","99%","0%"
"*04xec*","Matt Boldy","MIN","F","9","QUE","24","7,000","Rachat","45","1.15","100","58.5","99%","0%"
"*05tqt*","Wyatt Johnston","DAL","F","11","MTL","22","8,400","Rachat","45","1.15","100","81.9","99%","0%"
"*03kra*","Kyle Connor","WPG","F","10","NAS","29","7,143","Rachat","45","1.25","100","29.5","99%","0%"
"*02azb*","Mark Scheifele","WPG","F","13","HAR","32","8,500","Rachat","45","1.25","100","72.5","99%","0%"
"*04y4m*","Connor Bedard","CHI","F","14","QUE","20","950","Rachat","44","1.42","100","63.5","99%","0%"
"*04alw*","Cale Makar","COL","D","15","QUE","27","9,000","Rachat","43","1.16","100","5.4","99%","0%"
"*048xc*","Nick Suzuki","MTL","F","19","MTL","26","7,875","Rachat","42","1.11","100","51.5","99%","0%"
"*04ymt*","Lucas Raymond","DET","F","18","NAS","23","8,075","Rachat","42","1.11","100","85.6","98%","0%"
"*004jl*","Brad Marchand","FLA","F","17","FA","37","5,250","Rachat","42","1.17","100","169.1","97%","0%"
"*05y3a*","Leo Carlsson","ANA","F","16","HAR","21","950","Rachat","42","1.14","46","238.7","95%","0%"
"*03924*","Jack Eichel","VGK","F","20","HAR","29","10,000","Rachat","41","1.32","100","18.8","99%","0%"
"*03d12*","David Pastrnak","BOS","F","22","MTL","29","11,250","Rachat","41","1.21","100","13.2","99%","0%"
"*02yjj*","William Nylander","TOR","F","21","NAS","29","11,500","Rachat","41","1.24","100","28.9","98%","0%"
